date, pm25, pm10, o3, no2, so2
2024/4/30, 20, 8, 38, 1, 
2024/5/1, 40, 5, 43, 1, 1
2024/5/2, 34, 9, 45, 1, 1
2024/5/3, 30, 7, 45, 1, 
2024/5/4, 39, 7, 40, 1, 
2024/5/5, 25, 10, 42, 1, 
2024/5/6, 32, 12, 37, 1, 1
2024/5/7, 43, 7, 35, 1, 
2024/5/8, 31, 5, 40, 1, 1
2024/5/9, 23, 6, 47, 1, 
2024/5/10, 30, 9, 42, 1, 
2024/5/11, 34, 12, 36, 1, 
2024/5/12, 30, 12, 37, 1, 1
2024/5/13, 39, 5, 44, 1, 
2024/5/14, 29, 5, 28, 1, 
2024/5/15, 33, 5, 44, 1, 1
2024/5/16, 30, 6, 64, 1, 1
2024/5/17, 32, 13, 31, 1, 1
2024/5/18, 53, 7, , 1, 
2024/5/19, 29, 5, 33, 1, 1
2024/5/20, 27, 13, 53, 2, 1
2024/5/21, 56, 11, 43, 2, 1
2024/5/22, 51, 10, 45, 1, 
2024/5/23, 42, 10, 45, 1, 
2024/5/24, 42, 8, 41, 1, 1
2024/5/25, 42, 11, 42, 1, 1
2024/5/26, 41, 15, 22, 1, 
2024/5/27, 36, 13, 43, 1, 
2024/5/28, 23, 3, 38, 1, 1
2024/5/29, 25, 4, 44, 1, 1
2024/5/30, 25, 7, 32, 1, 
2024/5/31, 35, 10, 49, 1, 1
2024/6/1, 49, 12, 48, 1, 1
2024/6/2, 52, 8, 39, 1, 1
2024/6/3, 34, 5, 42, 1, 1
2024/6/4, 27, 4, 44, 1, 1
2024/6/5, 29, 5, 43, 1, 1
2024/6/6, 38, 8, 37, 1, 1
2024/6/7, 30, 6, 37, 1, 
2024/6/8, 25, 7, 41, 1, 
2024/6/9, 24, 6, 43, 1, 1
2024/6/10, 21, 5, 43, 1, 1
2024/6/11, 30, 4, 35, 1, 
2024/6/12, 24, 8, 55, 1, 1
2024/6/13, 40, 9, 39, 1, 1
2024/6/14, 34, 5, 30, 1, 
2024/6/15, 23, 5, 34, 1, 
2024/6/16, 24, 15, 30, 1, 1
2024/6/17, 62, 5, 36, 1, 
2024/6/18, 26, 11, 49, 1, 1
2024/6/19, 42, 14, 50, 1, 1
2024/6/20, 46, 6, 44, 1, 
2024/6/21, 26, 10, 40, 1, 
2024/6/22, 18, 25, 20, 1, 
2024/6/23, 40, 19, 28, 1, 
2024/6/24, 42, 17, 19, 1, 
2024/6/25, 51, 21, 20, 2, 1
2024/6/26, 54, 23, 22, 1, 
2024/6/27, 60, 11, 16, 1, 
2024/6/28, 27, 17, 27, 1, 1
2024/6/29, 38, 19, 9, 1, 
2024/6/30, 26, 27, 6, , 
2024/1/1, 16, 3, 28, 1, 1
2024/1/2, 17, 6, 21, 1, 1
2024/1/3, 27, 4, 32, 1, 
2024/1/4, 17, 3, 29, 2, 1
2024/1/5, 19, 4, 32, 2, 1
2024/1/6, 27, 6, 31, 1, 1
2024/1/7, 23, 3, 29, 1, 1
2024/1/8, 18, 3, 28, 2, 1
2024/1/9, 22, 9, 29, 4, 1
2024/1/10, 31, 4, 31, 2, 1
2024/1/11, 21, 3, 32, 1, 1
2024/1/12, 26, 9, 34, 1, 1
2024/1/13, 41, 3, 31, 1, 1
2024/1/14, 23, 4, 30, 1, 1
2024/1/15, 22, 3, 32, , 1
2024/1/16, 16, 2, 27, 3, 1
2024/1/17, 16, 8, 12, 9, 1
2024/1/18, 37, 10, 32, 5, 1
2024/1/19, 35, 6, 32, 2, 1
2024/1/20, 28, 3, 31, 2, 
2024/1/21, 17, 3, 31, 2, 1
2024/1/22, 17, 3, 32, 1, 
2024/1/23, 23, 1, 32, 1, 
2024/1/24, 15, 2, 30, 1, 
2024/1/25, 17, 2, 32, 1, 1
2024/1/26, 19, 3, 34, 1, 1
2024/1/27, 15, 7, 35, 1, 1
2024/1/28, 29, 3, 32, 2, 1
2024/1/29, 23, 8, 32, 4, 1
2024/1/30, 32, 8, 20, 6, 1
2024/1/31, 43, 10, 32, 6, 1
2024/2/1, 39, 4, 33, 1, 1
2024/2/2, 22, 4, 34, 1, 1
2024/2/3, 19, 3, 32, 1, 1
2024/2/4, 14, 2, 31, 2, 
2024/2/5, 13, 4, 32, 1, 1
2024/2/6, 14, 4, 30, 3, 1
2024/2/7, 19, 3, 34, 1, 1
2024/2/8, 22, 2, 35, 1, 1
2024/2/9, 16, 6, 34, 1, 1
2024/2/10, 31, 15, 42, 2, 1
2024/2/11, 64, 9, 36, 1, 1
2024/2/12, 48, 11, 37, 1, 2
2024/2/13, 46, 13, 34, 2, 1
2024/2/14, 53, 4, 33, 1, 
2024/2/15, 28, 3, 31, 1, 1
2024/2/16, 16, 4, 30, 3, 1
2024/2/17, 26, 6, 36, 2, 1
2024/2/18, 26, 6, 35, 1, 
2024/2/19, 23, 9, 24, 3, 1
2024/2/20, 32, 7, 20, 4, 1
2024/2/21, 25, 2, 31, 1, 
2024/2/22, 14, 2, 34, 1, 
2024/2/23, 15, 2, 34, 1, 1
